STATUSINV	B3	NAME	INDUSTRY NAME DAMODARAN
AALR3	AALR3	ALLIAR	Hospitals/Healthcare Facilities
ABCB4	ABCB4	ABC BRASIL  	Bank (Money Center)
ABEV3	ABEV3	AMBEV S/A	Beverage (Alcoholic)
ADHM3	ADHM3	ADVANCED-DH	Heathcare Information and Technology
AFLT3	AFLT3	AFLUENTE T  	Power
AGRO3	AGRO3	BRASILAGRO  	Farming/Agriculture
AHEB3	AHEB3	SPTURIS     	Recreation
AHEB5	AHEB5	SPTURIS     	Recreation
AHEB6	AHEB6	SPTURIS     	Recreation
ALPA3	ALPA3	ALPARGATAS  	Shoe
ALPA4	ALPA4	ALPARGATAS  	Shoe
ALPK3	ALPK3	ALLPARK	Diversified
ALSC3	ALSC3	ALIANSCE SHOPPING CENTERS	Real Estate (Operations & Services)
ALSO3	ALSO3	ALIANSCSONAE	Real Estate (Operations & Services)
ALUP11	ALUP11	ALUPAR	Utility (General)
ALUP3	ALUP3	ALUPAR	Utility (General)
ALUP4	ALUP4	ALUPAR	Utility (General)
AMAR3	AMAR3	LOJAS MARISA	Retail (General)
AMBP3	AMBP3	LOJAS MARISA	Retail (General)
ANDG3B	ANDG3B	ANDRADE GUTIERREZ	Engineering/Construction
ANDG4B	ANDG4B	ANDRADE GUTIERREZ	Engineering/Construction
ANIM3	ANIM3	ANIMA	Education
APER3	APER3	ALPER S.A.	Insurance (General)
APTI3	APTI3	SIDERÚRGICA J.L.ALIPERTI	Steel
APTI4	APTI4	SIDERÚRGICA J.L.ALIPERTI	Steel
ARZZ3	ARZZ3	AREZZO CO   	Shoe
ATMP3	ATMP3	ATMASA	Diversified
ATOM3	ATOM3	ATOM EMPREENDIMENTOS	Telecom. Services
AZEV3	AZEV3	AZEVEDO     	Engineering/Construction
AZEV4	AZEV4	AZEVEDO     	Engineering/Construction
AZUL4	AZUL4	AZUL	Air Transport
B3SA3	B3SA3	B3 	Financial Svcs. (Non-bank & Insurance)
BAHI3	BAHI3	BAHEMA      	Investments & Asset Management
